Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,Monetary Policy Rate (%),17,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18,18
2008,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),25.89,21.48,20.37,23.59,20.06,21.89,30.75,11.35,13.41,20.32,13.4,8.38
2008,Monetary Policy Rate (%),13.5,13.5,14.25,14.25,16,16,17,17,17,17,17,17
2007,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),9.52,14.34,11.18,19.63,16.06,9.73,13.33,17.73,24,19.81,17.18,16.74
2007,Monetary Policy Rate (%),12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,13.5,13.5
2006,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),14.53,12.51,9.55,5.33,14.61,17.54,10.96,14.12,5.25,16.01,18.73,15.57
2006,Monetary Policy Rate (%),14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,12.5
2005,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),6.23,8.05,6.46,6.05,7.45,3.93,-0.25,10.48,6.27,2.9,8.83,8.45
2005,Monetary Policy Rate (%),18.5,18.5,18.5,18.5,16.5,16.5,16.5,16.5,15.5,15.5,15.5,15.5
2004,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),8.54,15.09,18.96,21.47,15.3,18.17,20.97,11.01,11.65,12,17.85,6.84
2004,Monetary Policy Rate (%),21.5,20,20,20,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
2003,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),14.69,13.22,7.01,3.67,5.09,6.76,9.87,11.69,9.21,12.47,-0.64,6.76
2003,Monetary Policy Rate (%),25.5,25.5,27.5,27.5,27.5,27.5,26,26,26,24,24,21.5
2002,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),-1.38,-1.05,-1.5,7.89,2.52,6.18,12.24,2.59,13.68,8.85,17.91,14.8
2002,Monetary Policy Rate (%),27,27,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
2001,Bank of Ghana Composite Index of Economic Activity (Real Growth)  (%),0,4.31,10.6,3.09,5.2,0.4,-0.85,3.4,0.46,5.4,3.32,4.47
2001,Monetary Policy Rate (%),27,27,27,27,27,27,27,27,27,27,27,27
2000,Monetary Policy Rate (%),27,27,27,27,27,27,27,27,27,27,27,27
1999,Monetary Policy Rate (%),32,32,32,27,27,27,27,27,27,27,27,27
1998,Monetary Policy Rate (%),45,45,45,45,45,45,45,45,42,42,37,37
1997,Monetary Policy Rate (%),45,45,45,45,45,45,45,45,45,45,45,45
1996,Monetary Policy Rate (%),45,45,45,45,45,45,45,45,45,45,45,45
1995,Monetary Policy Rate (%),39,39,39,39,39,39,39,39,45,45,45,45
1994,Monetary Policy Rate (%),30,30,35,35,35,35,35,35,35,35,35,35
1993,Monetary Policy Rate (%),30,30,35,35,35,35,35,35,35,35,35,35
1992,Monetary Policy Rate (%),20,20,20,20,20,20,20,23,26,26,26,30
1991,Monetary Policy Rate (%),35,35,35,35,35,35,35,32,32,28,25,20
1990,Monetary Policy Rate (%),26,26,26,26,26,26,26,26,26,26,30,30
1989,Monetary Policy Rate (%),26,26,26,26,26,26,26,26,26,26,26,26
1988,Monetary Policy Rate (%),26,26,26,26,26,26,26,26,26,26,26,26
1987,Monetary Policy Rate (%),23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
1986,Monetary Policy Rate (%),18.5,18.5,20.5,20.5,20.5,20.5,20.5,20.5,23.5,23.5,23.5,23.5
1985,Monetary Policy Rate (%),18,18,18,18,18,18.5,18.5,18.5,18.5,18.5,18.5,18.5
1984,Monetary Policy Rate (%),14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
1983,Monetary Policy Rate (%),10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,14.5
1982,Monetary Policy Rate (%),19.5,19.5,19.5,19.5,19.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
1981,Monetary Policy Rate (%),13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,19.5,19.5,19.5,19.5
1980,Monetary Policy Rate (%),13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1979,Monetary Policy Rate (%),13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
1978,Monetary Policy Rate (%),8,8,8,8,8,8,8,8,13.5,13.5,13.5,13.5
1977,Monetary Policy Rate (%),8,8,8,8,8,8,8,8,8,8,8,8
1976,Monetary Policy Rate (%),8,8,8,8,8,8,8,8,8,8,8,8
1975,Monetary Policy Rate (%),6,6,6,6,6,6,6,6,8,8,8,8
1974,Monetary Policy Rate (%),5.18,6,6,6,6,6,6,6,6,6,6,6
1973,Monetary Policy Rate (%),6,6,6,6,6,6,6,6,6,6,6,6
1972,Monetary Policy Rate (%),8,8,8,8,8,8,8,8,8,8,8,8
1971,Monetary Policy Rate (%),8,8,8,8,8,8,8,8,8,8,8,8
